id	author	documents	total link strength
264	"bianciardi, bianca"	2	12	2.00
265	"biello, s. m."	2	23	2.00
266	"biello, stephany"	4	100	4.00
267	"biello, stephany m."	12	154	12.00
268	"bilbao-broch, laura"	1	2	1.00
269	"bindemann, markus"	1	6	1.00
270	"birch, j."	1	0	1.00
271	"birch, j. l."	2	17	2.00
272	"birch, joanna l."	1	8	1.00
273	"birschel, philip"	1	18	1.00
274	"bishop, paul"	1	36	1.00
275	"biswas, viveka"	1	2	1.00
276	"bivard, andrew"	4	70	4.00
277	"bjornerud, atle"	1	31	1.00
278	"bjornsdottir, r. thora"	1	0	1.00
279	"black, holly a."	2	21	2.00
280	"bladin, christopher f."	2	63	2.00
281	"blanco-duque, cristina"	1	45	1.00
282	"blas, yolanda silva"	1	7	1.00
283	"blauwendraat, cornelis"	1	2	1.00
284	"blennown, kaj"	1	54	1.00
285	"blesneac, iulia"	1	85	1.00
286	"blumberger, daniel m."	1	133	1.00
287	"boakye, d."	1	13	1.00
288	"boca, mihaela"	1	2	1.00
289	"boccard, sandra g."	1	12	1.00
290	"boczarow, igor"	1	14	1.00
291	"bode, j."	1	0	1.00
292	"bodig, emma"	1	1	1.00
293	"boeckx, cedric"	1	1	1.00
294	"boehme, bibi"	2	19	2.00
295	"boers, anna m."	2	29	2.00
296	"boers, anne m. m."	1	1	1.00
297	"bola, lukasz"	1	10	1.00
298	"bolam, joshua"	1	0	1.00
299	"bolognini, daniele"	1	2	1.00
300	"bonsall, david r."	1	8	1.00
301	"bonstrup, marlene"	1	32	1.00
302	"bontempi, dennis"	2	17	2.00
303	"booms, sigrid"	2	9	2.00
304	"booth, martin j."	2	5	2.00
305	"borghi, anna m."	1	5	1.00
306	"borgomaneri, sara"	3	44	3.00
307	"borgstedt, j."	1	0	1.00
308	"borjesson, ulf"	1	2	1.00
309	"born, jan"	1	165	1.00
310	"bosnell, rose"	1	2	1.00
311	"botta, laura"	1	0	1.00
312	"botting, catherine h."	1	0	1.00
313	"bottini, roberto"	1	12	1.00
314	"boulanger, jean-martin"	1	7	1.00
315	"bourcier, romain"	1	2	1.00
316	"bourguignon, mathieu"	1	8	1.00
317	"boutitie, f."	1	3	1.00
318	"boutitie, florent"	25	136	25.00
319	"bovet, jeanne"	1	24	1.00
320	"bower, justin"	1	8	1.00
321	"bowman, howard"	5	91	5.00
322	"bowtell, richard"	2	26	2.00
323	"boyle, k. a."	1	17	1.00
324	"boyle, kieran a."	8	302	8.00
325	"boyle, stephanie c."	2	4	2.00
326	"bracard, serge"	24	474	24.00
327	"bracco, martina"	3	15	3.00
328	"bradbury, elizabeth j."	1	15	1.00
329	"bradford, daniel r. r."	2	5	2.00
330	"bradley, louise"	2	47	2.00
331	"brady, m. c."	1	2	1.00
332	"brady, marian c"	1	14	1.00
333	"brady, marian c."	1	26	1.00
334	"braemswig, tim bastian"	2	9	2.00
335	"brandmeyer, alex"	1	12	1.00
336	"branney, peter"	1	11	1.00
337	"bratch, alexander"	1	4	1.00
338	"brattico, elvira"	1	0	1.00
339	"braun, verena"	4	20	4.00
340	"braz, joao"	1	36	1.00
341	"braz, joao manuel"	1	3	1.00
342	"brefczynski-lewis, julie a."	1	0	1.00
343	"brennan, david"	2	21	2.00
344	"bresner, catherine"	2	107	2.00
345	"bressington, daniel"	1	2	1.00
346	"breton, jocelyn"	1	12	1.00
347	"brett, matthew a."	1	58	1.00
348	"breutigam, nora-josefin"	2	11	2.00
349	"brewster, s."	1	0	1.00
350	"brewster, stephen"	9	53	9.00
351	"bristow, greg c."	2	20	2.00
352	"brittain, john-stuart"	3	144	3.00
353	"brodie, zara p."	1	11	1.00
354	"brookes, matthew j."	2	141	2.00
355	"brookes, tenzin s."	1	0	1.00
356	"broomfield, niall"	1	18	1.00
357	"brouwer, rachel m."	1	2	1.00
358	"brovelli, andrea"	2	9	2.00
359	"browitt, alison"	1	1	1.00
360	"brown, david"	1	4	1.00
361	"brown, edward"	1	5	1.00
362	"brown, heather"	1	1	1.00
363	"brown, m. m."	1	3	1.00
364	"brown, martin m"	1	0	1.00
365	"brown, martin m."	18	328	18.00
366	"brown, s."	1	10	1.00
367	"brown, s. j."	1	34	1.00
368	"brown, scott"	19	452	19.00
369	"brown, scott b."	5	21	5.00
370	"browning, simone"	1	4	1.00
371	"bruce, gillian"	1	9	1.00
372	"bruining, hilgo"	1	42	1.00
373	"brunner, gina"	2	3	2.00
374	"brunton, emma"	1	1	1.00
375	"brunton, emma k."	1	8	1.00
376	"brydges, nichola m."	1	1	1.00
377	"buch, ethan r."	1	165	1.00
378	"buck, brian"	1	4	1.00
379	"buck, mareike alicja"	1	1	1.00
380	"buhot, larissa"	1	28	1.00
381	"buist, hanna"	1	4	1.00
382	"bull, rebecca"	1	14	1.00
383	"bulmer, david c."	1	30	1.00
384	"bulters, diederik"	1	46	1.00
385	"bulters, diederik o."	1	2	1.00
386	"buonocore, antimo"	1	7	1.00
387	"burchall, joanna"	2	22	2.00
388	"burgos, pablo"	1	6	1.00
389	"burn, david"	1	3	1.00
390	"burn, david j."	7	225	7.00
391	"burton, c."	1	2	1.00
392	"busch-moreno, simon"	2	198	2.00
393	"bush, daniel"	2	35	2.00
394	"butcher, kenneth s."	1	0	1.00
395	"butler, stephen h."	1	9	1.00
396	"butt, simon j. b."	1	2	1.00
397	"button, katherine"	1	3	1.00
398	"buur, pieter f."	2	19	2.00
399	"bylund, emanuel"	1	4	1.00
400	"caan, matthan w. a."	1	1	1.00
401	"cader, m. zameel"	2	47	2.00
402	"cai, ziyi"	2	47	2.00
403	"cain, stuart"	1	15	1.00
404	"cairney, s. a."	1	27	1.00
405	"cala, lesley"	1	2	1.00
406	"calder, colin"	1	36	1.00
407	"callaghan, martina f."	1	4	1.00
408	"callebert, lucile"	1	2	1.00
409	"callister, r. j."	1	17	1.00
410	"callister, robert j."	3	68	3.00
411	"caltabiano, serena"	1	5	1.00
412	"calvo, margarita"	2	51	2.00
413	"campbell, b. c., v"	1	10	1.00
414	"campbell, bruce"	3	31	3.00
415	"campbell, bruce c v"	2	0	2.00
416	"campbell, bruce c."	1	2	1.00
417	"campbell, bruce c. v."	12	492	12.00
418	"campbell, bruce c., v"	10	51	10.00
419	"camurri, antonio"	1	0	1.00
420	"cangiamilla, salvador"	1	2	1.00
421	"cao, liyu"	2	34	2.00
422	"caplette, laurent"	1	1	1.00
423	"capone, fioravante"	2	72	2.00
424	"capps, erica"	1	8	1.00
425	"cardellicchio, pasquale"	2	18	2.00
426	"cardinale, f."	1	20	1.00
427	"carlsson, rickard"	1	11	1.00
428	"carmen martin-buro, maria"	2	24	2.00
429	"carod artal, javier"	2	4	2.00
430	"carone, davide"	1	2	1.00
431	"carota, francesca"	1	0	1.00
432	"carpenter, adrian"	1	16	1.00
433	"carpenter, t. adrian"	1	10	1.00
434	"carrasco, roberto"	1	2	1.00
435	"carroll, camille"	1	5	1.00
436	"carroll, camille b."	2	21	2.00
437	"carroll, emily"	1	50	1.00
438	"carstensdottir, elin"	1	2	1.00
439	"casali, giulio"	3	126	3.00
440	"casarotto, silvia"	1	133	1.00
441	"casas-benito, adrian"	1	11	1.00
442	"caso, v."	1	1	1.00
443	"cassar, rachel"	2	1	2.00
444	"cassidy, colleen"	1	6	1.00
445	"cassidy, s. a."	1	62	1.00
446	"cassidy, sarah"	3	70	3.00
447	"cassidy, sarah a."	1	17	1.00
448	"cassini, lindsey"	1	9	1.00
449	"castle, pauline"	1	18	1.00
450	"castren, eero"	3	15	3.00
451	"cat, aurelie nguyen dinh"	1	21	1.00
452	"cataldi, jacinthe"	1	7	1.00
453	"caulfield, m."	1	2	1.00
454	"cavanagh, jonathan"	7	72	7.00
455	"cebola, ines"	1	1	1.00
456	"cecere, r."	1	20	1.00
457	"cecere, roberto"	4	121	4.00
458	"cedarbaum, jesse m."	2	25	2.00
459	"celis-morales, carlos"	1	26	1.00
460	"celnik, pablo a."	1	165	1.00
461	"cenac, nicolas"	1	30	1.00
462	"chabriat, hugues"	1	1	1.00
463	"chabris, christopher f."	1	11	1.00
464	"chadzynski, grzegorz l."	1	13	1.00
465	"chai, yuhui"	1	1	1.00
466	"chalas, nikolas"	1	4	1.00
467	"chalas, nikos"	1	0	1.00
468	"chalmers, a. j."	3	17	3.00
469	"chalmers, anthony j."	2	13	2.00
470	"chalos, vicky"	1	41	1.00
471	"chambers, jenny"	1	1	1.00
472	"chamorro, angel"	2	17	2.00
473	"chan, edgar"	1	6	1.00
