id	author	documents	total link strength
511	"giovanni, a."	1	12
512	"girard, s."	1	6
513	"girdler, s."	1	8
514	"gjedde, a."	1	5
515	"glendinning, s."	2	19
516	"gliva-mcconvey, g.a."	1	16
517	"glowinski, d."	1	9
518	"goebel, r."	1	7
519	"goense, j."	10	59
520	"gold, m.s."	1	5
521	"goldstein, a."	1	11
522	"gomez-lima, m."	1	5
523	"gomila, a."	1	3
524	"gonzalez-castillo, j."	1	12
525	"gopinath, k."	1	7
526	"gorgolewski, k.j."	1	10
527	"gosselink, m.w.j.m."	1	6
528	"goulden, n."	1	2
529	"goulding, m.d."	1	8
530	"gradwell, m.a."	2	18
531	"grafton, s.t."	1	3
532	"graham, b.a."	9	60
533	"graham, c."	1	7
534	"graham, n."	3	42
535	"grainger, j."	1	8
536	"grant, a."	1	3
537	"grasso, p.a."	1	5
538	"gratch, j."	18	96
539	"gray, c.h."	1	23
540	"green, a.l."	1	8
541	"green, g."	2	6
542	"gregory, m.d."	2	11
543	"grent-'t-jong, t."	4	32
544	"grent-'t-jongl, t."	1	2
545	"grent-‘t-jong, t."	1	6
546	"grent-’t-jong, t."	1	13
547	"griffin, j."	2	15
548	"grinshpoon, a."	1	11
549	"grobras, m.-h."	1	7
550	"grosbras, m.-h."	3	8
551	"gross, j."	57	251
552	"groß, j."	3	19
553	"grube, m."	1	6
554	"gruber, s."	1	10
555	"gruendler, t.o.j."	1	7
556	"grützner, c."	2	22
557	"gu, w."	1	2
558	"guerra, a."	2	24
559	"guetterman, t.c."	1	16
560	"guidi, m."	2	22
561	"guimond, s.e."	1	8
562	"gumley, a."	2	7
563	"gumley, a.i."	3	27
564	"gunn, d."	1	12
565	"guo, y."	1	10
566	"gutierrez-mecinas, m."	11	66
567	"gómez, c."	1	10
568	"günther, m."	2	10
569	"habib, a."	1	3
570	"hachisuka, j."	14	92
571	"hadjigeorgieva, m."	1	5
572	"hahm, j."	1	9
573	"hahn, a.c."	40	203
574	"haining, k."	1	9
575	"hall, a."	1	12
576	"hall, l."	1	6
577	"hall, p.a."	1	6
578	"hallett, m."	1	19
579	"halls, d."	1	2
580	"hames, p."	1	5
581	"hamilton, a.f.d.c."	1	3
582	"hammond, j.a."	1	4
583	"hamnett, h.j."	1	1
584	"han, c."	9	71
585	"han, c.e."	2	10
586	"han, k."	1	7
587	"hancock, j."	1	4
588	"hand, c.j."	3	10
589	"handwerker, d.a."	1	12
590	"hari, r."	2	27
591	"harley, r."	1	3
592	"harrington, m.e."	1	5
593	"harris, b.m."	1	5
594	"harris, j.l."	1	6
595	"harris, k."	1	5
596	"harris, l."	1	3
597	"harteveld, c."	1	10
598	"hartholt, a."	4	60
599	"harvey, b.m."	2	9
600	"harvey, m."	17	71
601	"hasegawa, a."	1	13
602	"hashimoto-hachiya, a."	1	11
603	"hassanizadeh, s.m."	1	8
604	"hatch, r.j."	1	11
605	"hatton, r.e.m."	1	1
606	"havlíček, j."	1	8
607	"hawkins, s.j."	2	10
608	"hayes, l.l."	1	5
609	"he, b."	1	7
610	"hedde, j.r."	1	14
611	"heekeren, h.r."	1	2
612	"heerey, e."	1	3
613	"heidegger, t."	2	19
614	"heidemann, r.m."	1	3
615	"heitmann, h."	1	8
616	"helbich, t.h."	1	10
617	"helbling, s."	2	23
618	"helle, s."	1	3
619	"helmig, r."	1	8
620	"hemenway, g.m."	1	19
621	"hemforth, b."	2	4
622	"henderson, l.m."	1	4
623	"hendriks, a.d."	1	6
624	"henriques, a."	1	3
625	"hensel, b."	1	3
626	"herau, m."	1	4
627	"herbec, a."	1	4
628	"herring, j.d."	1	3
629	"herrmann, c.s."	2	14
630	"hertzog, c."	1	4
631	"heymans, j.j."	2	14
632	"heyselaar, e."	1	22
633	"higham, d.j."	2	9
634	"hillairet de boisferon, a."	1	5
635	"hiltunen, t."	1	11
636	"hirvonen, j."	3	10
637	"hobbs, p."	1	12
638	"hockley, j.r.f."	1	20
639	"hoffmann, m.b."	1	6
640	"hohn, v.d."	1	6
641	"hoinkiss, d.c."	3	7
642	"hojo, m."	1	9
643	"holmes, w.m."	25	184
644	"holzleitner, i.j."	10	79
645	"honkanen, r."	1	4
646	"hooge, i.t.c."	1	3
647	"hoon, m.a."	2	28
648	"horlin, c."	8	48
649	"hornero, r."	1	10
650	"horsburgh, k."	1	11
651	"horvath, j.c."	1	4
652	"hough, d."	1	8
653	"howe, j.a."	3	17
654	"hua, l."	1	5
655	"huang, j."	2	28
656	"huber, l."	3	30
657	"hudson, a."	1	12
658	"hudson, j.l."	2	24
659	"huettig, f."	1	22
660	"hughes, d."	9	51
661	"hughes, d.a.b."	1	5
662	"hughes, d.d."	1	7
663	"hughes, d.i."	13	101
664	"hughes, d.j."	8	30
665	"hughes, p."	1	10
666	"hughes, p.n."	1	12
667	"hughes, r.n."	3	8
668	"hughes, z.a."	1	14
669	"hui, j."	1	21
670	"hulshoff pol, h.e."	1	7
671	"huma, z."	3	6
672	"hummel, f.c."	1	19
673	"hunter, s.c."	1	2
674	"huotari, n."	1	7
675	"husband, e.m."	1	22
676	"huttunen, h.j."	1	10
677	"hylton, n.m."	1	8
678	"häfner, m."	2	9
679	"hämäläinen, m."	2	27
680	"häussinger, d."	1	7
681	"iachini, t."	1	6
682	"iima, m."	1	7
683	"ijichi, a."	1	8
684	"ilmoniemi, r.j."	1	21
685	"ince, r."	1	4
686	"ince, r.a.a."	11	44
687	"ingram, j."	1	2
688	"inoue, k."	1	13
689	"ireland, k."	1	2
690	"irwin, a."	2	6
691	"ito, a."	1	22
692	"ito, j."	1	7
693	"ivanov, d."	3	30
694	"iwagaki, n."	5	63
695	"jack, r."	2	6
696	"jack, r.e."	14	39
697	"jackson, h."	1	14
698	"jackson, i."	1	4
699	"jackson, l."	1	2
700	"jaffray, d."	1	7
701	"jambazova, a.a."	1	1
702	"jamieson, a."	2	5
703	"jamieson, s."	1	4
704	"jang, j."	1	7
705	"jang, s."	1	5
706	"jangraw, d.c."	1	12
707	"jansen, m.a."	2	14
708	"jarmer, h."	1	5
709	"jasienska, g."	1	3
710	"jaume-guazzini, f."	1	4
711	"jaworska, k."	3	10
712	"jenkins, r."	1	2
713	"jensen, o."	4	39
714	"jeong, d.c."	2	8
715	"jerbi, k."	1	7
716	"jezzard, p."	2	9
717	"jiang, h."	1	9
718	"jicol, c."	1	3
719	"jirsa, v.k."	1	2
720	"jobling, p."	2	13
721	"joe, b.n."	1	8
722	"joensson, m."	1	7
723	"johnson, d."	1	3
724	"johnston, k.j.a."	1	17
725	"johnston, m."	1	5
726	"jola, c."	4	22
727	"jones, a.l."	2	5
728	"jones, b."	1	5
729	"jones, b.c."	67	299
730	"jones, f.e."	1	11
731	"jones, r.a."	1	5
732	"jones, t.g."	1	7
733	"jonker, c."	1	3
734	"joosten, a."	1	8
735	"jose, j.m."	1	5
736	"juarez, l."	1	3
737	"jung, a.-v."	1	7
738	"jung, s.-l."	1	7
739	"kadler, k.e."	1	11
740	"kaeli, d."	1	10
741	"kahn, r.s."	1	7
742	"kaiser, m."	2	10
743	"kakigi, r."	2	27
744	"kalyanasundaram, s."	1	9
745	"kamide, y."	1	3
746	"kanagaki, m."	2	16
747	"kandrik, m."	17	109
748	"kaneko, t."	1	19
749	"kanel, d."	1	3
750	"kang, b.j."	1	7
751	"kang, e."	1	9
752	"kang, h."	1	9
753	"kang, s.-h."	1	5
754	"kantola, j."	1	11
755	"kaplan, a."	1	2
756	"kardon, a.p."	1	19
757	"karim, m.r."	2	10
758	"karim, r."	1	2
759	"karni, a."	1	8
760	"karnup, s."	1	19
761	"karvonen, e."	1	10
762	"katagiri, y."	1	6
763	"kaunitz, l."	1	2
764	"kauppi, j.-p."	2	11
765	"kay, r."	2	11
766	"kayser, c."	7	24
767	"kayser, s.j."	2	5
768	"kazanina, n."	1	22
769	"keane, b.p."	1	4
770	"keesman, m."	5	18
771	"keinänen, t."	1	7
772	"keitel, a."	6	21
773	"keitel, c."	5	20
774	"kelly (harley), r."	1	3
775	"kelly, r."	1	15
776	"kelly, r.m.g."	1	5
777	"kennedy, r.a."	1	16
778	"kennerley, a.j."	2	18
779	"kerkhoff, g."	1	1
780	"kessler, k."	2	6
781	"khader, p.h."	1	3
782	"khadria, a."	1	5
783	"khalighy, s."	2	6
784	"kida, i."	1	5
785	"kido-nakahara, m."	2	17
786	"kilborn, k."	3	10
787	"kim, b.-s."	1	7
788	"kim, b.-y."	1	7
789	"kim, h.s."	1	7
790	"kim, j.s."	1	9
791	"kim, n."	1	5
792	"kim, s.h."	1	7
793	"kim, y.j."	1	7
794	"kimiskidis, v.k."	1	21
795	"kindler, j."	1	9
796	"king, a."	2	32
797	"king, b.r."	1	8
798	"kingdom, f.a.a."	1	4
799	"kinsler, v.a."	2	32
800	"kircheis, g."	1	7
801	"kirkwood, k."	1	3
802	"kirsch, l.p."	4	8
803	"kiviniemi, v."	2	18
804	"klapilová, k."	1	8
805	"klapper, a."	1	3
806	"klein, b.p."	1	5
807	"klein, o."	1	2
808	"klepp, a."	1	4
809	"klomp, d.w.j."	1	6
810	"klosterkötter, j."	1	7
811	"koch, g."	1	6
812	"koenig, t."	1	7
813	"koenraads, y."	1	3
814	"koerber, h."	1	19
815	"koerber, h.r."	3	19
816	"koethe, d."	2	25
817	"koga, k."	1	13
818	"kogan, v."	1	22
819	"kohl, m.m."	6	22
820	"kohro, y."	1	13
821	"kohút, z."	1	22
822	"konczal, j."	1	23
823	"korhonen, o."	1	2
824	"korhonen, v."	1	7
825	"kornak, j."	1	8
826	"koto, k."	1	6
827	"kotz, s.a."	1	6
828	"kouzeli, a."	1	23
829	"koyasu, s."	1	7
830	"kozma, l."	1	3
831	"kranaster, l."	1	12
832	"kriegbaum, m.c."	2	28
833	"krieger, s.n."	1	8
834	"krishnamurthy, v."	1	7
835	"kron, f.w."	1	16
836	"kronmüller, e."	2	5
837	"kruijt, c."	1	6
838	"krämer, n."	1	4
839	"krämer, n.c."	2	8
840	"ku mohd noor, k.m."	1	5
841	"kudo, k."	1	8
842	"kuehn, e.d."	2	19
843	"kugiumtzis, d."	1	21
844	"kuhn, j."	1	7
845	"kukona, a."	1	3
846	"kulakova, e."	1	22
847	"kulashekhar, s."	1	3
848	"kumamoto, e."	1	6
849	"kunert, r."	1	1
850	"kurihara, m."	1	14
851	"kurowska-stolarska, m."	1	7
852	"kutluhan, a."	1	6
853	"kwon, j."	1	6
854	"kyle, s.d."	5	19
855	"kätzel, d."	1	1
856	"lages, m."	8	18
857	"lakshmanan, s."	2	6
858	"lall, g.s."	2	7
859	"lamanna, g."	1	7
860	"lambie, w."	2	32
861	"lambrechts, a."	1	3
862	"lano, a."	2	10
863	"lao, j."	3	22
864	"larkum, m.e."	1	3
865	"latinus, m."	3	17
866	"latvala, m.-l."	1	10
867	"laub, g.a."	1	8
868	"laventure, s."	1	8
869	"lavery, c.a."	1	7
870	"law smith, m.j."	1	8
871	"lawrence, s.j.d."	1	3
872	"lawrie, s.m."	5	47
873	"lay, s."	1	3
874	"lazuras, l."	1	6
